#1							
#Basel							
# 48.34         7.45          283.7            1							
#							
# hy	Ta	G_Bh	G_Dh	RH	N	FF	DD
double tab1(1776,8)							
193	-1.75	0	0	87	100	5.41	93.81
194	-1.75	0	0	86	100	4.21	109.98
195	-1.75	0	0	85	100	2.74	113.2
196	-1.75	0	0	88	100	1.14	71.57
197	-1.75	0	0	93	100	0.72	360
198	-1.75	0	0	92	100	1.84	258.69
199	-1.75	0	0	92	100	2.19	260.54
200	-1.75	0	0	92	100	1.14	251.57
201	-1.75	0	0	91	100	0	180
202	-1.75	0	0	89	100	1.94	338.2
203	-1.75	0	0	85	100	3.4	327.99
204	-1.75	0	0	78	100	4.8	347.01
205	-1.75	0	0	73	100	7.52	343.3
206	-1.75	0	0	66	100	5.77	3.58
207	-1.75	0	0	63	100	5.41	356.19
208	-1.75	0	0	61	100	3.96	360
209	-1.75	0	0	60	100	1.84	348.69
210	-1.75	0	0	63	100	2.81	320.19
211	-1.75	0	0	67	100	2.55	315
212	-1.75	0	0	70	100	0.51	225
213	-1.75	0	0	71	100	2.55	171.87
214	-1.75	0	0	70	100	5.35	132.27
215	-1.75	0	0	68	100	10.19	122.01
216	-1.75	0	0	72	100	12.98	123.69
217	-1.75	0	0	74	100	9.09	123.69
218	-1.75	0	0	81	100	6.15	110.56
219	-1.75	0	0	80	100	9.34	117.55
220	-1.75	0	0	82	100	8.09	110.85
221	-1.75	0	0	85	100	6.57	99.46
222	-1.75	0	0	84	100	4.83	116.57
223	-1.75	0	0	82	100	5.63	116.57
224	-1.75	0	0	77	100	5.94	104.04
225	-1.75	0	0	76	100	6.52	96.34
226	-1.75	0	0	74	100	4.9	107.1
227	-1.75	0	0	66	100	3.6	90
228	-1.75	0	0	62	100	4.2	59.04
229	-1.75	0	0	56	100	6.29	23.63
230	-1.75	0	0	64	100	2.28	288.43
231	-1.75	0	0	59	100	3.22	333.43
232	-1.75	0	0	58	100	2.41	333.43
233	-1.75	0	0	59	100	2.62	344.05
234	-1.75	0	0	60	100	5	329.74
235	-1.75	0	0	60	100	4.9	306.03
236	-1.75	0	0	63	100	3.89	326.31
237	-1.75	0	0	66	100	2.52	270
238	-1.75	0	0	67	100	2.52	270
239	-1.75	0	0	68	100	1.08	270
240	-1.75	0	0	70	100	1.3	303.69
241	-1.75	0	0	75	100	2.97	345.96
242	-1.75	0	0	80	100	3.89	326.31
243	-1.75	0	0	82	100	3.67	281.31
244	-1.75	0	0	83	100	2.9	262.88
245	-1.75	0	0	85	100	2.28	198.43
246	-1.75	0	0	84	100	2.31	141.34
247	-1.75	0	0	86	100	2.97	104.04
248	-1.75	0	0	90	100	3.08	69.44
249	-1.75	0	0	94	100	1.02	45
250	-1.75	0	0	89	100	1.53	225
251	-1.75	0	0	79	100	1.53	225
252	-1.75	0	0	73	100	0	180
253	-1.75	0	0	67	100	3.24	360
254	-1.75	0	0	60	100	5.96	334.98
255	-1.75	0	0	58	100	6.79	327.99
256	-1.75	0	0	56	100	7.41	330.95
257	-1.75	0	0	56	100	8.37	334.54
258	-1.75	0	0	59	100	8.4	329.04
259	-1.75	0	0	61	100	6.99	304.51
260	-1.75	0	0	62	100	6.83	288.43
261	-1.75	0	0	65	100	4.38	279.46
262	-1.75	0	0	66	100	4.38	260.54
263	-1.75	0	0	68	100	2.16	270
264	-1.75	0	0	70	100	1.48	345.96
265	-1.75	0	0	74	100	1.14	18.43
266	-1.75	0	0	77	100	0.72	360
267	-1.75	0	0	80	100	1.14	108.43
268	-1.75	0	0	82	100	2.97	104.04
269	-1.75	0	0	85	100	3.96	90
270	-1.75	0	0	88	100	3.32	77.47
