m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	3	3	24	-10.6	0	-13.4	80.0	0	3.0	130	184	0.0	0.0	3.0	-59.45	2.27	0	0	0	0.0	0.0	0	2	261
1	4	4	1	-11.0	0	-13.2	84.0	0	3.0	120	182	0.0	0.0	2.0	-60.21	2.34	0	0	0	0.0	0.0	0	2	259
1	4	4	2	-11.3	0	-13.6	83.0	0	3.0	120	181	0.0	0.0	2.0	-56.86	2.34	0	0	0	0.0	0.0	0	2	258
1	4	4	3	-11.6	0	-14.1	82.0	0	4.0	120	180	0.0	0.0	2.0	-50.41	2.34	0	0	0	0.0	0.0	0	2	258
1	4	4	4	-12.0	0	-14.5	82.0	0	4.0	110	178	0.0	0.0	2.0	-42.25	2.34	0	0	0	0.0	0.0	0	2	257
1	4	4	5	-12.2	0	-14.4	84.0	0	4.0	110	177	0.0	0.0	1.0	-33.31	2.34	0	0	0	0.0	0.0	0	2	256
1	4	4	6	-12.5	0	-14.7	84.0	0	4.0	110	176	0.0	0.0	1.0	-24.17	2.34	0	0	0	0.0	0.0	0	2	254
1	4	4	7	-12.6	0	-14.6	85.0	0	3.0	120	176	0.0	0.0	1.0	-15.24	2.34	0	0	0	0.0	0.0	0	2	252
1	4	4	8	-12.9	0	-14.6	87.0	0	4.0	130	174	0.0	0.0	1.0	-6.84	2.34	0	0	0	0.0	0.0	0	2	253
1	4	4	9	-13.4	28	-15.1	87.0	20	2.0	130	172	0.0	31.4	0.0	3.99	2.34	120	16	9	28.2	16.4	13	2	257
1	4	4	10	-12.3	116	-14.5	84.0	39	1.0	140	177	0.0	55.1	0.0	6.95	2.34	636	93	29	170.8	97.2	48	2	263
1	4	4	11	-10.6	198	-13.7	78.0	42	1.0	190	184	0.0	56.9	0.0	11.59	2.34	776	175	40	283.7	181.9	82	2	273
1	4	4	12	-7.9	241	-12.1	72.0	47	1.0	80	201	0.0	56.4	0.0	14.26	2.34	787	226	46	347.8	235.4	101	2	285
1	4	4	13	-3.7	241	-12.2	52.0	47	0.0	99	220	0.0	54.3	0.0	14.72	2.34	763	236	47	358.7	245.1	101	2	304
1	4	4	14	-4.6	200	-11.5	59.0	42	0.0	270	211	0.0	49.5	0.0	12.92	2.34	707	201	43	315.6	209.1	84	2	299
1	4	4	15	-5.3	122	-11.5	62.0	33	0.0	99	208	0.0	36.5	0.0	9.03	2.34	567	130	35	221.5	134.7	52	2	293
1	4	4	16	-6.2	34	-11.4	67.0	17	0.0	0	205	0.0	17.2	0.0	6.39	2.34	153	44	19	78.4	45.8	16	1	286
1	4	4	17	-6.7	0	-11.7	68.0	0	0.0	99	211	0.0	0.0	0.0	-3.70	2.34	0	0	0	0.0	0.0	0	1	266
1	4	4	18	-6.8	0	-11.2	71.0	0	2.0	200	205	0.0	0.0	0.0	-11.79	2.34	0	0	0	0.0	0.0	0	1	273
1	4	4	19	-6.9	0	-10.8	74.0	0	3.0	210	205	0.0	0.0	0.0	-20.55	2.34	0	0	0	0.0	0.0	0	1	275
1	4	4	20	-7.2	0	-10.7	76.0	0	3.0	200	200	0.0	0.0	0.0	-29.65	2.34	0	0	0	0.0	0.0	0	1	273
1	4	4	21	-8.0	0	-11.5	76.0	0	4.0	200	197	0.0	0.0	0.0	-38.72	2.34	0	0	0	0.0	0.0	0	1	272
1	4	4	22	-9.2	0	-11.9	81.0	0	4.0	230	190	0.0	0.0	0.0	-47.28	2.34	0	0	0	0.0	0.0	0	1	267
1	4	4	23	-9.8	0	-12.2	83.0	0	3.0	230	187	0.0	0.0	0.0	-54.56	2.34	0	0	0	0.0	0.0	0	1	263
1	4	4	24	-9.9	0	-12.0	85.0	0	4.0	230	187	0.0	0.0	0.0	-59.33	2.34	0	0	0	0.0	0.0	0	1	264
1	5	5	1	-10.8	0	-12.6	87.0	0	3.0	230	183	0.0	0.0	0.0	-60.12	2.62	0	0	0	0.0	0.0	0	1	259
1	5	5	2	-10.0	0	-12.7	81.0	0	3.0	230	186	0.0	0.0	0.0	-56.80	2.62	0	0	0	0.0	0.0	0	1	262
1	5	5	3	-10.5	0	-13.2	81.0	0	1.0	240	185	0.0	0.0	0.0	-50.38	2.62	0	0	0	0.0	0.0	0	1	255
1	5	5	4	-10.7	0	-13.2	82.0	0	4.0	250	183	0.0	0.0	0.0	-42.23	2.62	0	0	0	0.0	0.0	0	1	261
1	5	5	5	-10.8	0	-13.2	83.0	0	3.0	260	183	0.0	0.0	0.0	-33.30	2.62	0	0	0	0.0	0.0	0	1	259
1	5	5	6	-11.6	0	-13.5	86.0	0	2.0	290	180	0.0	0.0	0.0	-24.16	2.62	0	0	0	0.0	0.0	0	1	253
1	5	5	7	-11.3	0	-13.1	87.0	0	1.0	260	181	0.0	0.0	0.0	-15.22	2.62	0	0	0	0.0	0.0	0	1	251
1	5	5	8	-12.0	0	-14.3	83.0	0	3.0	270	178	0.0	0.0	0.0	-6.82	2.62	0	0	0	0.0	0.0	0	0	254
1	5	5	9	-11.9	28	-14.1	84.0	21	3.0	250	181	0.0	27.5	0.0	4.04	2.62	103	16	10	28.8	16.6	13	0	263
1	5	5	10	-10.9	108	-13.4	82.0	39	3.0	230	187	0.0	48.6	0.0	7.00	2.62	566	91	33	172.1	94.2	45	0	269
1	5	5	11	-9.3	200	-12.8	76.0	51	2.0	220	194	0.0	57.1	0.0	11.67	2.62	737	170	46	285.5	176.5	83	0	278
1	5	5	12	-5.1	250	-11.3	62.0	48	1.0	230	212	0.0	58.1	0.0	14.36	2.62	814	220	52	350.0	229.1	104	0	297
1	5	5	13	-1.3	253	-10.2	51.0	56	1.0	250	233	0.0	57.1	0.0	14.83	2.62	770	230	53	361.3	238.9	106	0	315
1	5	5	14	-3.0	208	-10.2	58.0	47	2.0	230	222	0.0	52.1	0.0	13.04	2.62	713	196	49	318.6	204.0	87	0	305
1	5	5	15	-2.8	128	-10.0	58.0	36	1.0	210	223	0.0	39.6	0.0	9.16	2.62	578	127	39	224.7	131.8	54	0	304
1	5	5	16	-3.5	36	-9.6	63.0	19	2.0	230	229	0.0	32.8	1.0	3.50	2.62	278	45	22	86.2	46.5	16	0	298
1	5	5	17	-4.9	0	-9.0	73.0	0	3.0	250	217	0.0	0.0	1.0	0.12	2.62	0	0	0	0.0	0.0	0	0	284
1	5	5	18	-6.1	0	-9.7	76.0	0	5.0	240	212	0.0	0.0	2.0	-11.64	2.62	0	0	0	0.0	0.0	0	0	282
1	5	5	19	-6.3	0	-10.0	75.0	0	5.0	240	203	0.0	0.0	2.0	-20.40	2.62	0	0	0	0.0	0.0	0	0	282
1	5	5	20	-7.1	0	-10.3	78.0	0	5.0	260	199	0.0	0.0	2.0	-29.50	2.62	0	0	0	0.0	0.0	0	0	278
1	5	5	21	-7.2	0	-10.1	80.0	0	5.0	260	199	0.0	0.0	3.0	-38.58	2.62	0	0	0	0.0	0.0	0	0	278
1	5	5	22	-7.1	0	-10.3	78.0	0	6.0	260	199	0.0	0.0	3.0	-47.14	2.62	0	0	0	0.0	0.0	0	0	280
1	5	5	23	-7.2	0	-10.1	80.0	0	5.0	260	199	0.0	0.0	3.0	-54.42	2.62	0	0	0	0.0	0.0	0	0	278
1	5	5	24	-6.5	0	-10.1	76.0	0	5.0	250	202	0.0	0.0	4.0	-59.21	2.62	0	0	0	0.0	0.0	0	0	281
1	6	6	1	-6.8	0	-9.7	80.0	0	5.0	260	221	0.0	0.0	4.0	-60.02	2.48	0	0	0	0.0	0.0	0	0	280
1	6	6	2	-5.1	0	-9.0	74.0	0	5.0	250	257	0.0	0.0	5.0	-56.74	2.48	0	0	0	0.0	0.0	0	0	287
1	6	6	3	-4.0	0	-7.3	78.0	0	4.0	240	262	0.0	0.0	5.0	-50.34	2.48	0	0	0	0.0	0.0	0	0	291
1	6	6	4	-3.4	0	-5.9	83.0	0	4.0	240	265	0.0	0.0	5.0	-42.21	2.48	0	0	0	0.0	0.0	0	0	293
1	6	6	5	-2.7	0	-4.3	89.0	0	5.0	230	268	0.0	0.0	6.0	-33.28	2.48	0	0	0	0.0	0.0	0	0	298
1	6	6	6	-1.8	0	-2.4	96.0	0	5.0	240	272	0.0	0.0	6.0	-24.14	2.48	0	0	0	0.0	0.0	0	0	302
1	6	6	7	-1.6	0	-2.2	96.0	0	3.0	240	292	0.0	0.0	6.0	-15.20	2.48	0	0	0	0.0	0.0	0	0	300
1	6	6	8	-0.8	0	-1.1	98.0	0	5.0	240	296	0.0	0.0	7.0	-6.78	2.48	0	0	0	0.0	0.0	0	0	306
1	6	6	9	-0.4	3	-1.0	96.0	3	4.0	240	298	0.0	0.5	7.0	4.09	2.48	0	16	10	29.5	2.0	2	0	312
1	6	6	10	0.0	19	-0.6	96.0	19	5.0	240	300	0.0	0.7	8.0	7.06	2.48	0	93	31	173.6	11.3	9	0	314
1	6	6	11	1.1	42	-0.7	88.0	42	6.0	250	305	0.0	1.1	8.0	11.75	2.48	0	174	43	287.4	21.0	20	0	320
1	6	6	12	1.6	22	-0.2	88.0	22	6.0	240	308	0.0	0.0	8.0	14.45	2.48	0	226	49	352.3	27.3	11	0	322
1	6	6	13	1.6	22	0.9	95.0	22	6.0	260	289	0.0	0.0	8.0	14.94	2.48	0	236	50	364.0	28.5	11	0	322
1	6	6	14	1.2	17	1.1	99.0	17	6.0	260	287	0.0	0.0	8.0	13.17	2.48	0	202	47	321.7	24.4	9	0	320
1	6	6	15	1.2	8	1.1	99.0	8	6.0	270	306	0.0	0.0	8.0	9.30	2.48	0	132	37	228.1	15.9	4	0	319
1	6	6	16	1.3	3	1.2	99.0	3	6.0	280	306	0.0	0.0	8.0	3.64	2.48	0	47	22	89.7	5.7	2	0	320
1	6	6	17	1.2	0	1.1	99.0	0	6.0	280	306	0.0	0.0	8.0	0.27	2.48	0	0	0	0.0	0.0	0	0	316
1	6	6	18	1.5	0	1.4	99.0	0	5.0	300	307	0.0	0.0	8.0	-11.49	2.48	0	0	0	0.0	0.0	0	0	317
1	6	6	19	1.5	0	1.4	99.0	0	4.0	270	307	0.0	0.0	8.0	-20.25	2.48	0	0	0	0.0	0.0	0	0	315
1	6	6	20	1.6	0	1.5	99.0	0	5.0	280	308	0.0	0.0	8.0	-29.35	2.48	0	0	0	0.0	0.0	0	0	317
1	6	6	21	1.8	0	1.7	99.0	0	6.0	280	309	0.0	0.0	8.0	-38.43	2.48	0	0	0	0.0	0.0	0	0	319
1	6	6	22	2.1	0	2.0	99.0	0	6.0	280	310	0.0	0.0	8.0	-46.99	2.48	0	0	0	0.0	0.0	0	0	321
