m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	4	4	10	-0.7	17	-1.0	98.0	17	1.0	10	297	0.0	0.0	8.0	6.95	2.34	0	93	29	170.8	26.1	8	17	310
1	4	4	11	-0.2	36	-0.2	100.0	36	2.0	10	299	0.0	0.3	8.0	11.59	2.34	0	175	40	283.7	48.8	18	17	313
1	4	4	12	0.3	72	-0.1	97.0	69	2.0	360	283	0.0	0.9	8.0	14.26	2.34	12	226	46	347.8	63.2	34	17	316
1	4	4	13	0.7	69	-0.5	92.0	69	3.0	10	304	0.0	0.8	8.0	14.72	2.34	0	236	47	358.7	65.8	32	17	316
1	4	4	14	0.8	58	-1.0	88.0	58	3.0	30	304	0.0	0.7	8.0	12.92	2.34	0	201	43	315.6	56.1	27	17	316
1	4	4	15	0.7	47	-1.5	85.0	47	3.0	30	285	0.0	1.0	8.0	9.03	2.34	0	130	35	221.5	36.2	22	16	316
1	4	4	16	0.2	14	-3.2	78.0	14	2.0	30	267	0.0	0.6	8.0	6.39	2.34	0	44	19	78.4	12.3	7	16	314
1	4	4	17	0.1	0	-2.9	80.0	0	2.0	10	282	0.0	0.0	8.0	-3.70	2.34	0	0	0	0.0	0.0	0	16	305
1	4	4	18	0.0	0	-2.1	86.0	0	2.0	10	281	0.0	0.0	8.0	-11.79	2.34	0	0	0	0.0	0.0	0	16	305
1	4	4	19	-0.1	0	-1.7	89.0	0	2.0	10	300	0.0	0.0	8.0	-20.55	2.34	0	0	0	0.0	0.0	0	16	304
1	4	4	20	-0.1	0	-1.0	94.0	0	2.0	20	281	0.0	0.0	8.0	-29.65	2.34	0	0	0	0.0	0.0	0	16	304
